house_id,price_act,price_first,advertiser,type,nbhood,street,st_number,sq_m,bedrooms,bathrooms,const_year,floor,lift,balcony,air_con,ft_wardrobes,terrace,exterior,heating
96613005,149900.0,149900.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,unknown,,75.0,2.0,1.0,,1.0,1,0,0,1,0,0,no
96612953,110000.0,110000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,55.0,2.0,1.0,,0.0,0,0,0,0,0,1,no
96612938,225000.0,225000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,80.0,3.0,1.0,,3.0,1,0,0,0,1,1,no
96612935,170000.0,170000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,79.0,3.0,1.0,,2.0,0,1,0,0,1,1,no
96612918,136800.0,136800.0,Professional advertiser,flat / apartment ,la caleta - la vina,unknown,,58.0,1.0,1.0,,0.0,1,0,0,0,1,0,no
96527985,150000.0,150000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,63.0,3.0,1.0,1972.0,0.0,1,0,0,0,0,1,no
96570485,142000.0,142000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,53.0,1.0,1.0,2006.0,2.0,1,0,0,1,0,0,no
96533695,260000.0,280000.0,Professional advertiser,penthouse ,centro historico - plaza espana,unknown,,57.0,2.0,1.0,,,0,1,0,0,1,1,no
95671990,715000.0,715000.0,Professional advertiser,flat / apartment ,playa victoria,unknown,,145.0,3.0,3.0,,5.0,1,0,1,1,1,1,no
95357052,330000.0,330000.0,Professional advertiser,flat / apartment ,la caleta - la vina,unknown,,155.0,6.0,2.0,,1.0,1,0,0,1,1,1,no
95298360,700000.0,700000.0,Professional advertiser,flat / apartment ,cortadura - zona franca,unknown,,169.0,5.0,3.0,,7.0,1,0,1,1,1,1,no
93350568,385000.0,385000.0,Professional advertiser,flat / apartment ,playa victoria,unknown,,120.0,3.0,2.0,,1.0,1,0,1,1,1,1,no
94046445,740000.0,740000.0,Professional advertiser,flat / apartment ,zona bahia blanca,unknown,,250.0,6.0,3.0,,11.0,1,0,0,1,1,1,no
95877317,365000.0,365000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,calle enrique de las marinas,,97.0,3.0,2.0,,,1,1,0,0,0,0,no
95143533,385000.0,385000.0,Professional advertiser,flat / apartment ,playa victoria,calle antonio accame,,135.0,3.0,2.0,1977.0,1.0,1,1,1,1,1,1,no
96005420,245000.0,245000.0,Professional advertiser,flat / apartment ,la caleta - la vina,unknown,,100.0,3.0,2.0,1971.0,2.0,1,0,0,1,0,1,no
93842066,330000.0,330000.0,Professional advertiser,flat / apartment ,cortadura - zona franca,unknown,,65.0,2.0,1.0,1995.0,4.0,1,0,1,0,0,0,no
39500067,185000.0,185000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,80.0,3.0,1.0,1900.0,1.0,0,0,0,0,0,0,no
34755427,170000.0,170000.0,Private owner,flat / apartment ,la paz - segunda aguada - loreto,calle carlos haya,17.0,58.0,3.0,1.0,,0.0,1,0,0,1,0,1,no
96295181,110000.0,110000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,45.0,3.0,1.0,,2.0,0,0,0,0,0,1,no
96178024,285000.0,285000.0,Private owner,flat / apartment ,playa victoria,calle general munoz arenillas,4.0,79.0,2.0,1.0,,5.0,1,0,0,1,1,1,no
95566032,259000.0,259000.0,Private owner,flat / apartment ,mentidero - teatro falla - alameda,plaza viudas,30.0,103.0,3.0,2.0,,1.0,1,0,1,1,1,1,individual
95506083,190000.0,190000.0,Professional advertiser,flat / apartment ,playa victoria,unknown,,60.0,1.0,1.0,1983.0,6.0,1,0,0,1,0,0,no
