house_id,tittle,city,price_act,price_first,details_1_desc,details_2_desc,details_3_desc,advertiser
93363640,Flat / apartment for sale in Ayuntamiento - Catedral,Cadiz,"135,000","135,000","['67 m² built, 60 m² floor area', '1 bedroom', '1 bathroom', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 2001', 'No heating', 'Ground floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
92754373,Flat / apartment for sale in Centro Histórico - Plaza España,Cadiz,"600,000","600,000","['222 m² built, 220 m² floor area', '6 bedrooms', '3 bathrooms', 'Terrace', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', 'Storeroom', '2nd floor exterior', 'with lift']","['Green areas', 'en trámite']",[],Professional advertiser
91757124,Penthouse for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"800,000","800,000","['280 m² built, 275 m² floor area', '6 bedrooms', '4 bathrooms', 'Terrace', 'Balcony', 'Parking space included in the price', 'Second hand/good condition', 'Fitted wardrobes', 'Storeroom', 'Access adapted for persons with reduced mobility', '3rd floor exterior', 'with lift']","['Air conditioning', 'Swimming pool', 'en trámite']",[],Professional advertiser
91504102,Duplex for sale in La Paz - Segunda Aguada - Loreto,Cadiz,"156,000","156,000","['53 m² built', '1 bedroom', '1 bathroom', 'Parking space included in the price', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 2004', 'Ground floor exterior', 'with lift']","['Air conditioning', 'en trámite']",[],Professional advertiser
90588974,Flat / apartment for sale in Centro Histórico - Plaza España,Cadiz,"120,000","120,000","['55 m² built', '2 bedrooms', '1 bathroom', 'Balcony', 'Second hand/good condition', 'Orientation South, West', 'Built in 1888', 'No heating', '1st floor exterior', 'no lift']",['Consumo: \n93 kWh/m² year'],[],Professional advertiser
90068965,Duplex for sale in Centro Histórico - Plaza España,Cadiz,"206,000","206,000","['100 m² built, 80 m² floor area', '2 bedrooms', '2 bathrooms', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', 'Orientation South, East', 'No heating', 'Ground floor', 'with lift']","['Air conditioning', 'en trámite']",[],Professional advertiser
89091061,Flat / apartment for sale in La Caleta - La Viña,Cadiz,"237,000","237,000","['93 m² built', '3 bedrooms', '1 bathroom', 'Balcony', 'Second hand/good condition', '2nd floor exterior', 'with lift']",['Consumo:'],[],Professional advertiser
89066840,Flat / apartment for sale in Centro Histórico - Plaza España,Cadiz,"220,000","220,000","['90 m² built', '2 bedrooms', '1 bathroom', 'Second hand/good condition', 'Fitted wardrobes', '1st floor interior', 'with lift']","['Air conditioning', 'Consumo:']",[],Professional advertiser
88928426,Duplex for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"199,000","199,000","['69 m² built', '2 bedrooms', '1 bathroom', 'Terrace', 'Second hand/good condition', 'No heating', '3rd floor', 'no lift']","['Air conditioning', 'no indicado']",[],Professional advertiser
88488947,Studio flat for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"79,000","79,000","['30 m² built', 'No bedroom', '1 bathroom', 'Second hand/good condition', 'Individual heating: Electric', '4th floor exterior', 'no lift']",['no indicado'],[],Professional advertiser
