,house_id,tittle,city,price_act,price_first,details_1_desc,details_2_desc,details_3_desc,advertiser
998,96036135,Flat / apartment for sale in La Paz - Segunda Aguada - Loreto,Cadiz,"185,000","185,000","['97 m² built', '3 bedrooms', '1 bathroom', 'Second hand/good condition', '5th floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
999,95739085,Flat / apartment for sale in La Caleta - La Viña,Cadiz,"180,000","180,000","['90 m² built, 83 m² floor area', '3 bedrooms', '1 bathroom', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 1981', 'No heating', '1st floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
1000,95753984,Flat / apartment for sale in Centro Histórico - Plaza España,Cadiz,"82,000","82,000","['50 m² built, 47 m² floor area', '2 bedrooms', '1 bathroom', 'Second hand/good condition', 'No heating', 'Ground floor interior', 'no lift']",['en trámite'],[],Professional advertiser
1001,95710035,Flat / apartment for sale in La Caleta - La Viña,Cadiz,"150,000","150,000","['75 m² built', '2 bedrooms', '1 bathroom', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', 'No heating', '1st floor exterior', 'with lift']","['Air conditioning', 'en trámite']",[],Professional advertiser
1002,95691607,Flat / apartment for sale in Playa Victoria,Cadiz,"200,000","200,000","['108 m² built', '4 bedrooms', '1 bathroom', 'Second hand/needs renovating', 'Fitted wardrobes', 'No heating', 'Ground floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
1003,95664041,Flat / apartment for sale in Playa Stª Mª del Mar,Cadiz,"175,000","175,000","['50 m² built', '1 bedroom', '1 bathroom', 'Second hand/good condition', 'Storeroom', 'Access adapted for persons with reduced mobility', '4th floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
1004,95550324,Flat / apartment for sale in La Caleta - La Viña,Cadiz,"178,500","178,500","['90 m² built, 85 m² floor area', '3 bedrooms', '1 bathroom', 'Terrace', 'Second hand/good condition', 'Fitted wardrobes', 'No heating', '1st floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
1005,95547215,Flat / apartment for sale in Zona San José - Varela,Cadiz,"220,000","220,000","['93 m² built, 78 m² floor area', '3 bedrooms', '1 bathroom', 'Terrace', 'Second hand/good condition', 'Fitted wardrobes', 'Orientation South, East', 'Built in 1975', 'Individual heating: Natural gas', 'Access adapted for persons with reduced mobility', '1st floor exterior', 'with lift']",['no indicado'],[],Professional advertiser
1006,95214299,Flat / apartment for sale in Zona San José - Varela,Cadiz,"230,000","230,000","['95 m² built', '3 bedrooms', '2 bathrooms', 'Second hand/good condition', 'No heating', 'Access adapted for persons with reduced mobility', 'Home suitable for persons with reduced mobility', '4th floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
1007,94611787,Flat / apartment for sale in Zona San José - Varela,Cadiz,"225,000","225,000","['78 m² built, 76 m² floor area', '3 bedrooms', '1 bathroom', 'Second hand/good condition', 'Fitted wardrobes', 'No heating', 'Access adapted for persons with reduced mobility', 'Home suitable for persons with reduced mobility', '1st floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
1008,94458264,Flat / apartment for sale in Zona San José - Varela,Cadiz,"228,000","228,000","['89 m² built, 78 m² floor area', '3 bedrooms', '1 bathroom', 'Second hand/good condition', 'Built in 1975', 'No heating', 'Access adapted for persons with reduced mobility', '1st floor', 'with lift']",['en trámite'],[],Professional advertiser
1009,94176436,Flat / apartment for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"120,000","120,000","['50 m² built', '2 bedrooms', '1 bathroom', 'Second hand/good condition', 'Built in 1995', 'No heating', '2nd floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
1010,93627480,Flat / apartment for sale in calle Navas,"Mentidero - Teatro Falla - Alameda, Cadiz","132,829","132,829","['65 m² built', '1 bedroom', '1 bathroom', 'Second hand/good condition', 'Individual heating', 'no lift']",['no indicado'],[],Professional advertiser
1011,90025820,Flat / apartment for sale in calle San Pedro,"Centro Histórico - Plaza España, Cadiz","277,000","277,000","['143 m² built, 89 m² floor area', '3 bedrooms', '2 bathrooms', 'Second hand/good condition', 'with lift']",['Consumo:'],[],Professional advertiser
1012,91339223,Flat / apartment for sale in La Paz - Segunda Aguada - Loreto,Cadiz,"162,000","162,000","['85 m² built', '3 bedrooms', '1 bathroom', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', 'No heating', '3rd floor exterior', 'no lift']","['Air conditioning', 'en trámite']",[],Professional advertiser
1013,92908391,Flat / apartment for sale in Cortadura - Zona Franca,Cadiz,"310,000","310,000","['95 m² built', '3 bedrooms', '2 bathrooms', 'Terrace', 'Second hand/good condition', 'Fitted wardrobes', 'Access adapted for persons with reduced mobility', '1st floor exterior', 'with lift']",['no indicado'],[],Professional advertiser
1014,91901635,Flat / apartment for sale in La Caleta - La Viña,Cadiz,"250,000","250,000","['95 m² built, 90 m² floor area', '3 bedrooms', '1 bathroom', 'Terrace', 'Balcony', 'Second hand/good condition', 'Built in 1971', 'No heating', '3rd floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
1015,91339277,Flat / apartment for sale in Centro Histórico - Plaza España,Cadiz,"250,000","250,000","['156 m² built, 145 m² floor area', '4 bedrooms', '3 bathrooms', 'Balcony', 'Second hand/needs renovating', 'Fitted wardrobes', 'Storeroom', 'No heating', '2nd floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
1016,91339279,Flat / apartment for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"220,000","220,000","['101 m² built', '3 bedrooms', '2 bathrooms', 'Second hand/good condition', 'Fitted wardrobes', 'Storeroom', 'No heating', 'Access adapted for persons with reduced mobility', 'Home suitable for persons with reduced mobility', 'Mezzanine exterior', 'with lift']",['en trámite'],[],Professional advertiser
1017,90607916,Flat / apartment for sale in calle María Arteaga,"La Caleta - La Viña, Cadiz","115,500","115,500","['65 m² built', '1 bedroom', '2 bathrooms', 'Second hand/good condition', 'Built in 1888', 'Individual heating', 'no lift']",['no indicado'],[],Professional advertiser
1018,89785726,Flat / apartment for sale in La Caleta - La Viña,Cadiz,"150,000","150,000","['70 m² built, 66 m² floor area', '1 bedroom', '1 bathroom', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', '1st floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
1019,87681863,Flat / apartment for sale in Centro Histórico - Plaza España,Cadiz,"125,000","125,000","['50 m² built, 45 m² floor area', '1 bedroom', '1 bathroom', 'Second hand/good condition', 'Built in 1995', 'No heating', 'Ground floor interior', 'no lift']",['no indicado'],[],Professional advertiser
1020,96528298,Flat / apartment for sale in canovas del castillo,"Centro Histórico - Plaza España, Cadiz","150,000","150,000","['98 m² built', '3 bedrooms', '1 bathroom', 'Second hand/needs renovating', 'Built in 1850', '2nd floor interior', 'no lift']",['inmueble exento'],[],Professional advertiser
1021,96481624,Flat / apartment for sale in calle José del Toro,"Centro Histórico - Plaza España, Cadiz","450,000","450,000","['150 m² built', '3 bedrooms', '2 bathrooms', 'Terrace', 'Parking space included in the price', 'Second hand/good condition', 'Fitted wardrobes', 'Storeroom', '2nd floor exterior', 'with lift']","['Air conditioning', 'en trámite']",[],Professional advertiser
1022,96457918,Flat / apartment for sale in La Paz - Segunda Aguada - Loreto,Cadiz,"150,000","150,000","['75 m² built, 70 m² floor area', '3 bedrooms', '2 bathrooms', 'Second hand/needs renovating', 'Built in 1969', 'No heating', '1st floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
1023,95509910," Detached house for sale in calle Virgen de la Palma, 9","La Caleta - La Viña, Cadiz","460,000","460,000","['Detached house', '3 floors', '460 m² built', '8 bedrooms', '8 bathrooms', 'Second hand/needs renovating', 'No heating']","['Consumo:', 'Emisiones:']",[],Professional advertiser
1024,95051663,Flat / apartment for sale in calle Santa Cruz de Tenerife,"Playa Stª Mª del Mar, Cadiz","340,000","340,000","['150 m² built, 130 m² floor area', '2 bedrooms', '2 bathrooms', 'Terrace', 'Balcony', 'Additional parking space for € 100', 'Second hand/good condition', 'Orientation South', 'Individual heating', '2nd floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
1025,94605794,Flat / apartment for sale in calle García Carrera,"Zona San José - Varela, Cadiz","260,000","260,000","['126 m² built, 116 m² floor area', '4 bedrooms', '2 bathrooms', 'Second hand/good condition', 'Built in 1968', 'No heating', '3rd floor', 'with lift']",['Consumo: \n100 kWh/m² year'],[],Professional advertiser
1026,93866629,Flat / apartment for sale in virgili,"Mentidero - Teatro Falla - Alameda, Cadiz","105,000","105,000","['50 m² built', '1 bedroom', '1 bathroom', 'Second hand/good condition', 'Ground floor interior', 'no lift']",['en trámite'],[],Professional advertiser
1027,93648983,Flat / apartment for sale in calle Garaicoechea,"La Caleta - La Viña, Cadiz","119,000","119,000","['80 m² built', '3 bedrooms', '1 bathroom', 'Second hand/good condition', '2nd floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
1028,91474572,Flat / apartment for sale in Estadio,"Zona Laguna, Cadiz","370,000","370,000","['75 m² built', '3 bedrooms', '2 bathrooms', 'Terrace', 'Second hand/good condition', 'Built in 1959', '3rd floor exterior', 'with lift']","['Air conditioning', 'en trámite']",[],Professional advertiser
1029,96288862,"Flat / apartment for sale in calle Paraguay, 5","La Caleta - La Viña, Cadiz","180,000","
200,000 €
","['115 m² built', '4 bedrooms', '1 bathroom', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', 'Storeroom', 'Orientation South', '3rd floor exterior', 'no lift']","['Air conditioning', 'no indicado']",[],Private owner
